L,scaffold,N,compliance_rate,compliance_ci_low,compliance_ci_high,acc_strict,acc_strict_ci_low,acc_strict_ci_high,acc_comp_only,acc_comp_only_ci_low,acc_comp_only_ci_high,mean_time_s,mean_words
1,light,19,0.8421052631578947,0.6243407235682331,0.9447962896007217,0.5789473684210527,0.36275551465160105,0.7685837960796962,0.6875,0.4440393186673406,0.8583556494803894,19.21457894736842,56.1578947368421
3,light,20,1.0,0.8388698745050667,1.0,0.55,0.3420820083075997,0.7418049791429071,0.55,0.3420820083075997,0.7418049791429071,47.814499999999995,1.0
6,light,20,1.0,0.8388698745050667,1.0,0.55,0.3420820083075997,0.7418049791429071,0.55,0.3420820083075997,0.7418049791429071,91.34049999999999,16.85
9,light,20,1.0,0.8388698745050667,1.0,0.45,0.25819502085709295,0.6579179916924003,0.45,0.25819502085709295,0.6579179916924003,131.12654999999998,1.0
12,light,20,1.0,0.8388698745050667,1.0,0.5,0.2992949144298199,0.7007050855701801,0.5,0.2992949144298199,0.7007050855701801,178.9784,1.0
1,rich,1,0.0,0.0,0.7934567085261071,0.0,0.0,0.7934567085261071,,,,15.853,28.0
3,rich,20,1.0,0.8388698745050667,1.0,0.65,0.43285051021946463,0.8188104521320554,0.65,0.43285051021946463,0.8188104521320554,42.54449999999999,14.25
6,rich,20,0.95,0.7638641064874331,0.9911187805671268,0.65,0.43285051021946463,0.8188104521320554,0.6842105263157895,0.4601001017506463,0.846358289955714,84.88955000000001,9.55
9,rich,20,0.95,0.7638641064874331,0.9911187805671268,0.7,0.4810232237710206,0.854524726031006,0.7368421052631579,0.5120803155892935,0.8819376166045982,128.6426,7.9
12,rich,20,0.95,0.7638641064874331,0.9911187805671268,0.65,0.43285051021946463,0.8188104521320554,0.6842105263157895,0.4601001017506463,0.846358289955714,179.7674,9.25
