condition,L,acc_type,n,total,percent
meta,6,Incorrect,436.0,1002.0,0.4351297405189621
meta,6,Correct,531.0,1002.0,0.5299401197604791
meta,6,IDK,32.0,1002.0,0.031936127744510975
meta,6,NC,3.0,1002.0,0.0029940119760479044
meta,11,Incorrect,343.0,1002.0,0.34231536926147704
meta,11,Correct,427.0,1002.0,0.42614770459081835
meta,11,IDK,226.0,1002.0,0.22554890219560877
meta,11,NC,6.0,1002.0,0.005988023952095809
meta,16,Incorrect,444.0,1002.0,0.4431137724550898
meta,16,Correct,510.0,1002.0,0.5089820359281437
meta,16,IDK,46.0,1002.0,0.04590818363273453
meta,16,NC,2.0,1002.0,0.001996007984031936
meta,21,Incorrect,444.0,1002.0,0.4431137724550898
meta,21,Correct,527.0,1002.0,0.5259481037924152
meta,21,IDK,31.0,1002.0,0.03093812375249501
meta,21,NC,0.0,1002.0,0.0
misleading,6,Incorrect,353.0,1002.0,0.3522954091816367
misleading,6,Correct,466.0,1002.0,0.46506986027944114
misleading,6,IDK,182.0,1002.0,0.18163672654690619
misleading,6,NC,1.0,1002.0,0.000998003992015968
semantic,6,Incorrect,322.0,1002.0,0.3213572854291417
semantic,6,Correct,595.0,1002.0,0.593812375249501
semantic,6,IDK,85.0,1002.0,0.08483033932135728
semantic,6,NC,0.0,1002.0,0.0
semantic,11,Incorrect,349.0,1002.0,0.34830339321357284
semantic,11,Correct,582.0,1002.0,0.5808383233532934
semantic,11,IDK,71.0,1002.0,0.07085828343313373
semantic,11,NC,0.0,1002.0,0.0
semantic,16,Incorrect,364.0,1002.0,0.36327345309381237
semantic,16,Correct,568.0,1002.0,0.5668662674650699
semantic,16,IDK,70.0,1002.0,0.06986027944111776
semantic,16,NC,0.0,1002.0,0.0
semantic,21,Incorrect,343.0,1002.0,0.34231536926147704
semantic,21,Correct,584.0,1002.0,0.5828343313373253
semantic,21,IDK,75.0,1002.0,0.0748502994011976
semantic,21,NC,0.0,1002.0,0.0
underspecified,6,Incorrect,352.0,1002.0,0.35129740518962077
underspecified,6,Correct,566.0,1002.0,0.564870259481038
underspecified,6,IDK,83.0,1002.0,0.08283433133732535
underspecified,6,NC,1.0,1002.0,0.000998003992015968
underspecified,11,Incorrect,300.0,1002.0,0.2994011976047904
underspecified,11,Correct,626.0,1002.0,0.624750499001996
underspecified,11,IDK,76.0,1002.0,0.07584830339321358
underspecified,11,NC,0.0,1002.0,0.0
underspecified,16,Incorrect,304.0,1002.0,0.3033932135728543
underspecified,16,Correct,624.0,1002.0,0.6227544910179641
underspecified,16,IDK,74.0,1002.0,0.07385229540918163
underspecified,16,NC,0.0,1002.0,0.0
underspecified,21,Incorrect,297.0,1002.0,0.2964071856287425
underspecified,21,Correct,633.0,1002.0,0.6317365269461078
underspecified,21,IDK,72.0,1002.0,0.0718562874251497
underspecified,21,NC,0.0,1002.0,0.0
