scaffold,L,boolq_id,gold,reply,timing_s,first_token,compliant,pred_strict,correct_strict,pred_label,pred_raw,is_answered,is_idk,answered_correct
baseline,1,dev_0039,0,YES,1.863,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0055,0,Yes.,1.861,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0059,0,YES,1.861,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0068,0,YES,1.864,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0107,0,YES,1.868,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0138,0,YES,1.867,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0151,0,YES,1.866,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0165,0,YES,1.868,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0207,0,Yes,1.868,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0210,0,YES,1.87,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0221,0,YES,1.866,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0237,0,YES,1.871,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0243,0,YES,1.871,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0270,0,YES,1.875,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0295,0,YES,1.87,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0312,0,YES,1.87,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0336,0,YES,1.872,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0352,0,YES,1.87,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0355,0,YES,1.868,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0364,0,YES,1.87,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0366,0,YES,1.872,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0406,0,YES,1.866,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0428,0,YES,1.871,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0436,0,YES,1.867,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0441,0,YES,1.872,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0479,0,YES,1.87,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0481,0,"Yes.



The concept of a ""6th borough"" in New York City is not an official administrative division but rather a colloquial term used to describe areas outside the official five boroughs that are closely connected to Manhattan. The term ""6th borough"" has been used to refer to various places, including Staten Island, Brooklyn, Queens, and the Bronx, which are all part of New York City but are not",1.87,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0482,0,YES,1.87,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0487,0,YES,1.868,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0509,0,YES,1.868,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0532,0,YES,1.868,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0534,0,YES,1.866,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0537,0,YES,1.867,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0560,0,YES,1.868,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0568,0,YES,1.867,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0569,0,YES,1.867,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0594,0,YES,1.868,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0596,0,YES,1.867,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0678,0,YES,1.872,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0696,0,YES,1.87,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0724,0,Yes,1.87,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0731,0,YES,1.866,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0737,0,YES,1.868,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0759,0,YES,1.867,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
baseline,1,dev_0817,0,Yes,1.87,yes,TRUE,1,FALSE,yes,yes,TRUE,FALSE,FALSE
